ref,content,tune,dance,quality,year,instrument,performer,parish,origin,collector,notes,comments,archive,datatype,file,duration,kivike,order
"ERA, Fon. 2 a",Torupilli-tükk,,,,1912,viiul,Peeter Saar,Tartu linn,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0002--a)--Torupillitykk__viul.mp3,14.763,K0,55
"ERA, Fon. 2 b",,,,,1912,viiul,Peeter Saar,Tartu linn,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0002--b)--pillilugu__viul.mp3,15.618,,56
"ERA, Fon. 2 c",,,,,1912,viiul,Peeter Saar,Tartu linn,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0002--c)--pillilugu__viul.mp3,11.905,,57
"ERA, Fon. 2 d",,,,,1912,viiul,Peeter Saar,Tartu linn,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0002--d)--pillilugu__viul.mp3,22.839,,58
"ERA, Fon. 2 e",,,,,1912,viiul,Peeter Saar,Tartu linn,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0002--e)--pillilugu__viul.mp3,11.542,,59
"ERA, Fon. 2 f",,,,,1912,viiul,Peeter Saar,Tartu linn,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0002--f)--pillilugu__viul.mp3,36.738,,60
"ERA, Fon. 12 d",,,,,1912,puupill,Jukk Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0012--d)--pillilugu__pupil.mp3,18.161,,61
"ERA, Fon. 12 e",Mis ta vahid valge silma,,,,1912,sokusarv,Jukk Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0012--e)--Mis_sa_vahid__pillil__skusrv.mp3,39.612,,62
"ERA, Fon. 12 f",,,,,1912,puupill,Karl Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0012--f)--pillilugu__pupil.mp3,21.26,,63
"ERA, Fon. 13 a",,,,,1912,puupill,Karl Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0013--a)--pillilugu__pupil.mp3,15.783,,64
"ERA, Fon. 13 b",,,,,1912,puupill,Karl Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0013--b)--pillilugu__pupil.mp3,16.169,,65
"ERA, Fon. 14 a",Kodumineki tükk,,,,1912,sokusarv,Jukk Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0014--a)--Kodumineki_tykk__sksrv.mp3,31.831,,66
